"","nOrders","nItemsOrdered","nItemsSold","salesOrdered","salesSold","returnRatio","shareOwnBrand","shareSale","shareVoucher","crDuration","monetaryReturnRatio","meanDaysBetwOrders","salesPerOrder","salesPerItem","itemsPerOrder","itemsSoldPerOrder","customerSatis"
"212",8,11,6,3340.57,2163.19,0.454545454545455,0.73,0.45,0.27,1024,0.352448833582293,146,270.4,360.53,1.38,0.75,3.4
"213",13,14,3,4398.87,1249.12,0.785714285714286,0.5,0.14,0.07,320,0.716036163832984,27,96.09,416.37,1.08,0.23,3.2
"214",3,7,1,1530.94,191.82,0.857142857142857,0.43,0.86,0,751,0.874704429958065,376,63.94,191.82,2.33,0.33,1.3
"215",4,4,3,2727.84,1845.39,0.25,0.25,0.25,0,376,0.323497712475805,125,461.35,615.13,1,0.75,2
"216",76,170,11,59994.72,4218.49,0.935294117647059,0.58,0.09,0.15,904,0.929685645670152,12,55.51,383.5,2.24,0.14,4.5
"217",12,13,7,7306.06,2880.93,0.461538461538462,0.46,0.15,0,1061,0.605679394913264,96,240.08,411.56,1.08,0.58,3.5
"218",10,10,1,2921.57,9.99,0.9,0.4,0.5,0.2,537,0.996580605633273,60,1,9.99,1,0.1,2.7
"219",21,32,11,11221,5475.14,0.65625,0.41,0.19,0.06,1062,0.51206309598075,53,260.72,497.74,1.52,0.52,3.9
"220",8,10,5,1153.65,601.84,0.5,1,0.8,0,536,0.478316647163351,77,75.23,120.37,1.25,0.62,2.4
"221",7,9,7,1050.75,773.55,0.222222222222222,0.89,0.78,0,1057,0.263811563169165,176,110.51,110.51,1.29,1,3
"222",4,4,2,2145.57,754.88,0.5,0.25,0.5,0,872,0.648168085869955,291,188.72,377.44,1,0.5,2.6
"223",2,3,2,680.47,464.41,0.333333333333333,1,0.33,1,402,0.317515834643702,402,232.21,232.21,1.5,1,2.6
"224",8,9,8,2473.65,2300.04,0.111111111111111,0.89,0.33,0.11,931,0.0701837365835911,133,287.5,287.5,1.12,1,3.8
"225",4,4,3,739.59,571.43,0.25,1,0.75,0,346,0.227369218080288,115,142.86,190.48,1,0.75,3.2
"226",2,3,1,901.34,9.99,0.666666666666667,1,0,0.67,836,0.988916502096878,836,5,9.99,1.5,0.5,1.4
"227",11,20,7,6810.11,2640.96,0.65,0.65,0.15,0.15,746,0.612200096621053,75,240.09,377.28,1.82,0.64,2.8
"228",14,23,6,2785.09,641.04,0.739130434782609,1,0.83,0.17,1046,0.769831495571059,80,45.79,106.84,1.64,0.43,2.6
"229",2,3,1,417.98,9.99,0.666666666666667,1,0.67,0,608,0.976099334896407,608,5,9.99,1.5,0.5,1.7
"230",5,8,6,1333.04,1002.83,0.25,1,0,0.5,623,0.247711996639261,156,200.57,167.14,1.6,1.2,3.6
"231",14,15,8,5549.86,2502.56,0.466666666666667,0.27,0.47,0.13,980,0.549076913651876,75,178.75,312.82,1.07,0.57,3.3
"232",6,10,1,2552.97,202.46,0.9,0.6,0.2,0,932,0.92069628706957,186,33.74,202.46,1.67,0.17,2.1
"233",17,19,15,4242.23,3493.27,0.210526315789474,0.89,0.05,0.11,971,0.176548654834839,61,205.49,232.88,1.12,0.88,4.4
"234",32,51,22,19849.71,8046.16,0.568627450980392,0.76,0.16,0.22,1036,0.594645967119923,33,251.44,365.73,1.59,0.69,4.4
"235",3,4,1,2001.29,164.21,0.75,0.75,0.75,0,974,0.917947923589285,487,54.74,164.21,1.33,0.33,2
"236",8,11,3,2286.29,639.18,0.727272727272727,0.82,0.09,0,1024,0.720429166903586,146,79.9,213.06,1.38,0.38,2.9
"237",44,74,69,28177.67,27167.67,0.0675675675675675,0.43,0.15,0,694,0.0358439856808601,16,617.45,393.73,1.68,1.57,5
"238",4,6,4,3965.41,1495.45,0.333333333333333,0.17,0.17,0.17,1022,0.62287632300317,341,373.86,373.86,1.5,1,2.8
"239",5,11,1,1710.05,127.37,0.909090909090909,1,0.09,0.18,934,0.925516797754452,234,25.47,127.37,2.2,0.2,2.4
"240",29,36,18,20584.85,5678.94,0.5,0.64,0.44,0.03,947,0.724120408941527,34,195.83,315.5,1.24,0.62,3.9
"241",6,7,4,1208.4,600.41,0.428571428571429,1,0.43,0.57,963,0.503136378682556,193,100.07,150.1,1.17,0.67,1.8
"242",4,5,3,1107.24,570.51,0.4,1,0.4,0.4,796,0.484745854557278,265,142.63,190.17,1.25,0.75,2.7
"243",7,7,3,1225.98,744.39,0.571428571428571,1,0.71,0.14,638,0.392820437527529,106,106.34,248.13,1,0.43,2.6
"244",3,4,4,1512.05,1512.05,0,0.25,0.25,0.75,640,0,320,504.02,378.01,1.33,1.33,3.9
"245",31,44,20,9329.16,4617.48,0.545454545454545,0.8,0.16,0.32,781,0.505048686055336,26,148.95,230.87,1.42,0.65,3.9
"246",2,2,1,320.23,171.88,0.5,1,0,0.5,238,0.463260781313431,238,85.94,171.88,1,0.5,2.8
"247",16,21,9,4730.43,1918.99,0.571428571428571,1,0.14,0.14,913,0.59433074794469,61,119.94,213.22,1.31,0.56,3.2
"248",7,11,5,3857.96,1833.87,0.545454545454545,0.18,0,0,720,0.524652925380253,120,261.98,366.77,1.57,0.71,3.7
"249",20,30,14,8249.57,4235.19,0.533333333333333,0.57,0.57,0.23,1024,0.486616878213046,54,211.76,302.51,1.5,0.7,3.4
"250",5,9,2,3158.64,1129.51,0.777777777777778,0,0.56,0,419,0.642406225464124,105,225.9,564.75,1.8,0.4,2.2
"251",3,3,3,515.3,515.3,0,1,0.67,0.33,940,0,470,171.77,171.77,1,1,3.1
"252",5,8,3,1279.97,584.32,0.625,1,0.62,0,660,0.543489300530481,165,116.86,194.77,1.6,0.6,2.3
"253",6,8,1,2222.49,9.99,0.875,0.62,0.5,0.5,970,0.995505041642482,194,1.66,9.99,1.33,0.17,2.2
"254",6,9,3,1901.71,341.76,0.666666666666667,0.33,0.56,0,977,0.820288056538589,195,56.96,113.92,1.5,0.5,2.8
"255",51,74,25,34218,12775.4,0.662162162162162,0.42,0.23,0.14,678,0.626646794084984,14,250.5,511.02,1.45,0.49,5
"256",3,5,3,875.8,623.96,0.4,1,0.6,0,903,0.28755423612697,452,207.99,207.99,1.67,1,2
"257",4,6,4,3023.27,2300.48,0.333333333333333,0,0.5,0.33,909,0.239075570491554,303,575.12,575.12,1.5,1,3.5
"258",9,11,3,5306.99,886.65,0.727272727272727,0.45,0.27,0,677,0.832927893212537,85,98.52,295.55,1.22,0.33,2.9
"259",7,14,6,9950.93,4548.42,0.571428571428571,0,0.5,0,735,0.542915084318752,122,649.77,758.07,2,0.86,3.9
"260",21,31,13,10323.78,3148.19,0.580645161290323,0.52,0.48,0.06,552,0.695054524602423,28,149.91,242.17,1.48,0.62,3.6
"261",9,13,5,3674.86,1526.06,0.615384615384615,1,0.15,0,340,0.584729758412565,42,169.56,305.21,1.44,0.56,2.9
"262",74,108,20,45622.39,7476.41,0.814814814814815,0.33,0.44,0.26,938,0.836124104852902,13,101.03,373.82,1.46,0.27,4.7
"263",20,27,8,10171.35,3296.8,0.703703703703704,0.44,0.37,0,991,0.675873900711312,52,164.84,412.1,1.35,0.4,3.3
"264",8,11,5,9465.31,3857.86,0.545454545454545,0,0.45,0.27,2311,0.592421167399694,330,482.23,771.57,1.38,0.62,3.4
"265",2,2,2,410.39,410.39,0,1,1,0,379,0,379,205.19,205.19,1,1,2.8
"266",2,2,1,637.55,309.2,0.5,1,0.5,0,714,0.515018429927065,714,154.6,309.2,1,0.5,2
"267",3,6,6,1168.26,1168.26,0,0.83,0.5,0,916,0,458,389.42,194.71,2,2,3.5
"268",4,4,4,890.34,890.34,0,1,0.5,0,416,0,139,222.59,222.59,1,1,3.3
"269",6,7,6,1041.01,937.65,0.142857142857143,1,0.57,0.71,857,0.0992881912757803,171,156.28,156.28,1.17,1,2.7
"270",7,9,1,2572.24,211.48,0.888888888888889,0.33,0.56,0.22,854,0.91778372158119,142,30.21,211.48,1.29,0.14,2.1
"271",5,11,3,4149.64,1193.14,0.727272727272727,0.18,0.45,0.18,960,0.712471443305925,240,238.63,397.71,2.2,0.6,2.6
"272",2,2,1,1488.93,703.26,0.5,0,0.5,0,707,0.527674235860652,707,351.63,703.26,1,0.5,1
"273",60,79,25,58444.28,19312.54,0.683544303797468,0.37,0.24,0,1910,0.669556370614883,32,321.88,772.5,1.32,0.42,5
"274",13,15,14,3320.88,2838.25,0.0666666666666667,0.93,0.13,0.07,413,0.14533196020332,34,218.33,202.73,1.15,1.08,4.2
"275",32,44,1,17298.6,283.45,0.977272727272727,0.59,0.68,0.07,677,0.983614280924468,22,8.86,283.45,1.38,0.03,2.8
"276",3,4,2,4333.99,2132.91,0.5,0.5,0.25,0.75,600,0.507864577444803,300,710.97,1066.45,1.33,0.67,3.4
"277",2,4,1,526.07,9.99,0.75,1,0.75,0,195,0.981010131731519,195,5,9.99,2,0.5,1.9
"278",2,2,2,445.92,445.92,0,1,0.5,0,741,0,741,222.96,222.96,1,1,2.9
"279",2,3,3,519.36,519.36,0,1,1,0,327,0,327,259.68,173.12,1.5,1.5,2.6
"280",2,2,2,1679.7,1679.7,0,0,0,1,596,0,596,839.85,839.85,1,1,4
"281",30,30,27,5980.14,5429.83,0.1,1,0.5,0.07,1937,0.0920229292290816,67,180.99,201.1,1,0.9,4.9
"282",3,3,1,779.6,214.09,0.666666666666667,0.67,0.33,0,586,0.725384812724474,293,71.36,214.09,1,0.33,2.4
"283",8,8,8,1582.89,1582.89,0,0.88,0.62,0.25,755,0,108,197.86,197.86,1,1,3.9
"284",8,10,6,2701.77,1840.55,0.4,0.6,0,0,855,0.318761404560714,122,230.07,306.76,1.25,0.75,3.8
"285",4,4,2,760.42,384.04,0.5,1,0.5,0,622,0.494963309749875,207,96.01,192.02,1,0.5,2.9
"286",5,5,5,1435.02,1435.02,0,1,0,0.8,606,0,152,287,287,1,1,3.9
"287",2,2,2,926.12,926.12,0,0,0,0,938,0,938,463.06,463.06,1,1,3.6
"288",2,3,1,1036.35,9.99,0.666666666666667,1,0,0.67,851,0.990360399478941,851,5,9.99,1.5,0.5,1.6
"289",17,30,9,7396.85,1095.76,0.7,0.6,0.43,0.13,939,0.851861265268324,59,64.46,121.75,1.76,0.53,2.9
"290",11,15,13,3877.96,3468.93,0.133333333333333,0.4,0.67,0.2,849,0.105475559314691,85,315.36,266.84,1.36,1.18,4.2
"291",5,7,3,1699.47,640.46,0.571428571428571,1,0,0.29,863,0.623141332297716,216,128.09,213.49,1.4,0.6,2.8
"292",12,16,6,6787.7,2098.97,0.625,0.31,0.06,0,847,0.69076859613713,77,174.91,349.83,1.33,0.5,3.5
"293",4,4,3,1007.24,797.85,0.25,1,0.25,0.5,652,0.207884913228228,217,199.46,265.95,1,0.75,3.1
"294",8,10,6,1793.53,1154.51,0.4,0.9,0,0.9,751,0.356291782127982,107,144.31,192.42,1.25,0.75,3.1
"295",5,6,5,1858.56,1648.42,0.166666666666667,0.67,0.5,0.5,1133,0.113066029614325,283,329.68,329.68,1.2,1,3.3
"296",17,19,2,12004.89,1611.35,0.894736842105263,0.32,0.32,0.26,605,0.865775529804938,38,94.79,805.67,1.12,0.12,2.9
"297",2,2,1,378.42,255.1,0.5,1,0,0.5,115,0.325881295914592,115,127.55,255.1,1,0.5,2.4
"298",4,6,4,947.77,548.73,0.333333333333333,1,0.5,0,885,0.421030418772487,295,137.18,137.18,1.5,1,2.6
"299",6,8,4,3048.18,1330.48,0.5,0.88,0.25,0,890,0.563516590227611,178,221.75,332.62,1.33,0.67,3.1
"300",3,4,4,491.37,491.37,0,1,0.25,1,473,0,236,163.79,122.84,1.33,1.33,3
"301",2,2,2,525.19,525.19,0,1,0.5,0,122,0,122,262.6,262.6,1,1,3.4
"302",2,2,1,299.47,126.56,0.5,1,1,0,846,0.577386716532541,846,63.28,126.56,1,0.5,1.1
"303",17,21,21,9064.76,9064.76,0,0.62,0.33,0.1,709,0,44,533.22,431.66,1.24,1.24,5
"304",7,7,4,1731.39,1053.15,0.428571428571429,0.86,0.29,0,521,0.391731498969036,87,150.45,263.29,1,0.57,3.1
"305",3,3,3,869.24,869.24,0,1,0,0,771,0,386,289.75,289.75,1,1,3.8
"306",2,2,1,808.57,246.35,0.5,0.5,0.5,0,114,0.695326316830948,114,123.17,246.35,1,0.5,3
"307",2,2,1,573.6,334.4,0.5,1,0.5,0,124,0.417015341701534,124,167.2,334.4,1,0.5,2.6
"308",3,3,2,720.52,580.6,0.333333333333333,1,0.67,0.67,459,0.194193082773552,230,193.53,290.3,1,0.67,2.3
"309",2,4,2,479.14,264.39,0.5,1,0.25,1,810,0.448198856284176,810,132.19,132.19,2,1,1.4
"310",10,12,3,2362.06,586.36,0.75,1,0.75,0.08,888,0.751759057771606,99,58.64,195.45,1.2,0.3,2.2
"311",9,9,7,4383.28,3812.77,0.222222222222222,0.67,0.33,0.22,865,0.13015595627019,108,423.64,544.68,1,0.78,3.6
"312",9,14,2,2674.08,529.16,0.857142857142857,1,0.14,0.07,146,0.802115119966493,18,58.8,264.58,1.56,0.22,2.6
"313",3,4,2,1173.23,454.62,0.5,0.5,0.25,0,106,0.612505646804122,53,151.54,227.31,1.33,0.67,3.2
"314",123,159,17,42818.62,5030.11,0.893081761006289,0.96,0.53,0.05,642,0.882525172460019,5,40.9,295.89,1.29,0.14,5
"315",8,14,7,2553.88,1279.65,0.5,0.71,0.71,0.5,908,0.498938869484862,130,159.96,182.81,1.75,0.88,2.6
"316",2,3,1,912.8,9.99,0.666666666666667,0.33,0.33,0.67,575,0.989055652936021,575,5,9.99,1.5,0.5,1.5
"317",3,6,2,972.52,341.77,0.666666666666667,0.67,1,0,842,0.648572779994242,421,113.92,170.88,2,0.67,2
"318",2,2,1,310.47,185.75,0.5,0.5,0,0,230,0.401713531098013,230,92.88,185.75,1,0.5,2.6
"319",3,3,3,514.67,514.67,0,1,0.67,0.67,756,0,378,171.56,171.56,1,1,2.3
"320",2,2,2,403.94,403.94,0,1,0.5,0,204,0,204,201.97,201.97,1,1,2.9
"321",8,9,7,1779.87,1431.77,0.222222222222222,0.67,0.33,0.22,776,0.195576081399203,111,178.97,204.54,1.12,0.88,3.8
"322",2,2,2,362.7,362.7,0,1,0,1,508,0,508,181.35,181.35,1,1,2.9
"323",3,3,1,794.63,9.99,0.666666666666667,1,0.67,0.33,6,0.987428111196406,3,3.33,9.99,1,0.33,2.4
"324",3,3,3,467.12,467.12,0,1,0.33,1,216,0,108,155.71,155.71,1,1,2.9
"325",4,5,1,1590.59,9.99,0.8,0.6,0.6,0,875,0.993719311701947,292,2.5,9.99,1.25,0.25,2
"326",2,2,1,566.79,9.99,0.5,0.5,0.5,0,12,0.982374424389986,12,5,9.99,1,0.5,2.8
"327",14,28,7,5768.46,1406.96,0.75,0.86,0.68,0.18,856,0.756094347538164,66,100.5,200.99,2,0.5,2.9
"328",3,4,2,872.1,477.08,0.5,1,0.5,0.5,529,0.452952643045522,264,159.03,238.54,1.33,0.67,2.6
"329",19,24,11,4108.54,1788.44,0.541666666666667,0.88,0.38,0.5,1428,0.564701816216953,79,94.13,162.59,1.26,0.58,2.9
"330",6,6,6,2866.51,2866.51,0,0.33,0.83,0.17,868,0,174,477.75,477.75,1,1,3.9
"331",2,2,2,753.56,753.56,0,0,1,0,-6,0,-6,376.78,376.78,1,1,2.9
"332",21,27,23,5714.31,4554.21,0.148148148148148,0.67,0.37,0.41,891,0.203016637179292,45,216.87,198.01,1.29,1.1,4.7
"333",16,17,11,4479,2871.22,0.352941176470588,0.71,0.24,0.12,807,0.358959589194017,54,179.45,261.02,1.06,0.69,4
"334",2,2,2,667.66,667.66,0,0.5,0,0.5,580,0,580,333.83,333.83,1,1,3.5
"335",5,5,3,1032.61,526.89,0.4,1,1,0,804,0.489749276106177,201,105.38,175.63,1,0.6,2.2
"336",2,2,1,1824.69,115.18,0.5,0.5,0.5,0,474,0.936876948961193,474,57.59,115.18,1,0.5,2.1
"337",11,24,10,4147.25,1848.87,0.583333333333333,1,0.08,0,838,0.554193742841642,84,168.08,184.89,2.18,0.91,3.2
"338",3,4,2,728.31,380.84,0.5,1,0.5,0,867,0.477090799247573,434,126.95,190.42,1.33,0.67,2.3
"339",5,5,4,2114.3,1511.94,0.2,0.6,0.8,0.2,863,0.284898075013007,216,302.39,377.99,1,0.8,3.3
"340",6,8,8,3742.64,3742.64,0,0.12,0.12,0,653,0,131,623.77,467.83,1.33,1.33,4.6
"341",29,29,18,7712.15,4865.81,0.379310344827586,0.83,0.41,0.21,853,0.369072178316034,30,167.79,270.32,1,0.62,4.5
"342",8,11,8,1830.02,1277.42,0.272727272727273,1,0.64,0.18,885,0.3019639129627,126,159.68,159.68,1.38,1,3.2
"343",44,45,45,8156.63,8156.63,0,0.96,0.64,0.02,843,0,20,185.38,181.26,1.02,1.02,5
"344",2,2,1,1485.03,9.99,0.5,0,0.5,0,58,0.993272863174481,58,5,9.99,1,0.5,2
"345",4,6,2,1487.06,402.57,0.666666666666667,0,0.33,0.33,193,0.729284628730515,64,100.64,201.28,1.5,0.5,2.8
"346",26,29,16,9391.66,5627.92,0.448275862068966,0.93,0.14,0.17,808,0.400753434430122,32,216.46,351.75,1.12,0.62,4.3
"347",68,104,11,20809.75,1714.2,0.894230769230769,0.88,0.45,0.09,851,0.917625151671692,13,25.21,155.84,1.53,0.16,4.2
"348",2,2,1,524.89,230.16,0.5,1,1,0,754,0.561508125512012,754,115.08,230.16,1,0.5,1.8
"349",15,20,5,2158.62,539.72,0.75,0.95,0.9,0,866,0.749969888169293,62,35.98,107.94,1.33,0.33,2.2
"350",2,2,1,597.67,9.99,0.5,1,1,0,176,0.983285090434521,176,5,9.99,1,0.5,2.1
"351",7,8,1,1763.5,403.45,0.875,1,0.12,0.12,40,0.771222001701163,7,57.64,403.45,1.14,0.14,2.5
"352",13,25,2,4502.96,570.5,0.92,1,0.44,0.04,679,0.873305559010073,57,43.88,285.25,1.92,0.15,1.2
"353",3,3,3,769.38,769.38,0,0.67,0.67,0,868,0,434,256.46,256.46,1,1,3.1
"354",9,10,7,4146.76,3304.43,0.3,0.4,0.3,0.2,847,0.203129672322488,106,367.16,472.06,1.11,0.78,4.2
"355",212,221,16,355772.8,17128.28,0.927601809954751,0.1,0.18,0,2522,0.951856128405544,12,80.79,1070.52,1.04,0.08,5
"356",3,3,1,984.69,9.99,0.666666666666667,1,0.67,0.33,463,0.989854675075404,232,3.33,9.99,1,0.33,1.9
"357",4,4,2,3331.09,819.21,0.5,0.75,0.75,0,567,0.754071490112846,189,204.8,409.61,1,0.5,2.2
"358",2,3,3,1252.53,1252.53,0,0,0.67,0,452,0,452,626.26,417.51,1.5,1.5,3.8
"359",2,3,2,782.87,481.24,0.333333333333333,1,0.33,0,70,0.385287467906549,70,240.62,240.62,1.5,1,3
"360",2,2,2,185.96,185.96,0,1,1,0,699,0,699,92.98,92.98,1,1,2.2
"361",6,6,5,1251.18,924.19,0.166666666666667,1,0.17,0.67,631,0.261345290046196,126,154.03,184.84,1,0.83,2.8
"362",11,17,11,3002.29,2066.17,0.352941176470588,0.94,0.29,0.06,806,0.311801991146758,81,187.83,187.83,1.55,1,3.7
"363",7,10,2,1708.32,344.5,0.8,1,0.6,0.5,563,0.798339889482064,94,49.21,172.25,1.43,0.29,2
"364",5,6,6,1154.95,1154.95,0,1,0.67,0,488,0,122,230.99,192.49,1.2,1.2,2.8
"365",6,9,2,2185.47,428.83,0.777777777777778,0.56,0.33,0,636,0.80378133765277,127,71.47,214.41,1.5,0.33,2.5
"366",7,8,7,1911.29,1544.23,0.125,1,0.62,0.12,750,0.19204830245541,125,220.6,220.6,1.14,1,3.1
"367",2,2,2,478.8,478.8,0,1,0.5,0.5,718,0,718,239.4,239.4,1,1,2.2
"368",7,8,1,1294.54,86.31,0.875,0.75,0.62,0.5,552,0.933327668515457,92,12.33,86.31,1.14,0.14,2.1
"369",3,3,3,589.86,589.86,0,1,0.33,0.67,501,0,250,196.62,196.62,1,1,3.1
"370",4,8,1,1008.58,125.6,0.875,0.88,0.75,0.25,773,0.875468480437843,258,31.4,125.6,2,0.25,1.6
"371",8,8,5,2588.82,1114.35,0.375,0.62,0.5,0.25,806,0.569552923725867,115,139.29,222.87,1,0.62,3.4
"372",2,2,2,494.22,494.22,0,1,0.5,0,715,0,715,247.11,247.11,1,1,2.1
"373",7,10,7,1895.64,1521.06,0.3,1,0.2,0.6,300,0.197600810280433,50,217.29,217.29,1.43,1,3.3
"374",3,3,3,612.94,612.94,0,1,0.67,0.67,717,0,358,204.31,204.31,1,1,2.9
"375",10,10,6,2196.87,1434.19,0.4,1,0.4,0.1,836,0.347166650734909,93,143.42,239.03,1,0.6,3.2
"376",10,10,3,3719.77,1349.79,0.7,0.5,1,0,122,0.637130790344564,14,134.98,449.93,1,0.3,2.6
"377",3,3,3,938.12,938.12,0,0,0.33,0.67,789,0,394,312.71,312.71,1,1,3.1
"378",2,2,2,409.7,409.7,0,1,0,0.5,-6,0,-6,204.85,204.85,1,1,3.6
"379",3,4,1,1084.12,9.99,0.75,0.75,0,0,367,0.990785152935099,184,3.33,9.99,1.33,0.33,2.3
"380",2,2,1,492.48,224.34,0.5,1,0,0.5,15,0.544468810916179,15,112.17,224.34,1,0.5,2.9
"381",4,7,1,1082.06,9.99,0.857142857142857,0.86,0,0.86,779,0.990767609929209,260,2.5,9.99,1.75,0.25,1.9
"382",3,4,1,635.03,149.48,0.75,1,0.5,0.5,678,0.764609546005701,339,49.83,149.48,1.33,0.33,2
"383",6,9,3,2374.9,1052.34,0.666666666666667,0.44,0.67,0,2049,0.55689081645543,410,175.39,350.78,1.5,0.5,2.6
"384",5,5,4,1203.95,816.79,0.2,1,0.6,0,594,0.32157481622991,148,163.36,204.2,1,0.8,3.4
"385",8,9,4,1706.22,748.3,0.555555555555556,1,0,0.44,591,0.561428186283129,84,93.54,187.07,1.12,0.5,3.1
"386",2,2,1,387.58,127.72,0.5,1,0,0,3,0.670468032406213,3,63.86,127.72,1,0.5,3.1
"387",3,3,3,1977.6,1977.6,0,0.33,0.33,0,267,0,134,659.2,659.2,1,1,4.2
"388",5,7,7,3637.2,3637.2,0,0.43,0.43,0,236,0,59,727.44,519.6,1.4,1.4,4.2
"389",5,5,2,1405.17,685.7,0.6,1,0.4,0.2,589,0.51201633965997,147,137.14,342.85,1,0.4,2.3
"390",2,2,1,479.55,166.97,0.5,1,0.5,0,327,0.65181941403399,327,83.48,166.97,1,0.5,2.5
"391",2,2,1,239.69,107.09,0.5,0.5,0.5,0.5,522,0.553214568818057,522,53.55,107.09,1,0.5,1.6
"392",2,2,2,640.3,640.3,0,1,0,0.5,589,0,589,320.15,320.15,1,1,3.4
"393",2,2,2,241.83,241.83,0,1,1,0,618,0,618,120.92,120.92,1,1,1.6
"394",3,3,2,550.23,290.22,0.333333333333333,0.67,0,0,143,0.472547843629028,72,96.74,145.11,1,0.67,3.5
"395",4,5,4,887.4,722.31,0.2,1,0.4,0,374,0.186037863421231,125,180.58,180.58,1.25,1,3.5
"396",4,4,4,1235.29,1235.29,0,0.25,0.75,0.25,332,0,111,308.82,308.82,1,1,3.6
"397",4,4,4,662.29,662.29,0,1,0.25,0,368,0,123,165.57,165.57,1,1,3.7
"398",3,3,1,263.04,97.59,0.666666666666667,1,1,0,122,0.628991788321168,61,32.53,97.59,1,0.33,2.2
"399",2,2,1,906.19,287.23,0.5,0.5,0.5,0.5,585,0.683035566492678,585,143.62,287.23,1,0.5,2.2
"400",22,29,18,6783.43,3898.67,0.379310344827586,0.69,0.07,0.31,754,0.425265684174525,36,177.21,216.59,1.32,0.82,4.2
"401",2,2,2,1156.22,1156.22,0,0,1,0,799,0,799,578.11,578.11,1,1,3.2
"402",9,19,9,2462.43,1108.74,0.526315789473684,0.68,0.79,0.21,819,0.549737454465711,102,123.19,123.19,2.11,1,2.6
"403",8,12,8,2785.4,1990.38,0.333333333333333,1,0.33,0.33,778,0.285423996553457,111,248.8,248.8,1.5,1,3.5
"404",9,15,13,7418.55,6839.81,0.133333333333333,0.4,0.27,0.27,806,0.0780125496222307,101,759.98,526.14,1.67,1.44,4.3
"405",2,2,1,324.59,207.84,0.5,1,0.5,0.5,140,0.359684525093194,140,103.92,207.84,1,0.5,2.3
"406",21,24,1,7000.85,9.99,0.958333333333333,0.96,0.46,0,505,0.998573030417735,25,0.48,9.99,1.14,0.05,2.7
"407",4,6,6,2995.09,2995.09,0,0.5,0,0,295,0,98,748.77,499.18,1.5,1.5,4.1
"408",3,4,3,706.19,455.82,0.25,1,0,0.75,213,0.354536314589558,106,151.94,151.94,1.33,1,3.2
"409",4,9,7,1805.83,1682.91,0.222222222222222,0.89,0.11,0.89,541,0.068068422830499,180,420.73,240.42,2.25,1.75,3.4
"410",3,3,3,522.12,522.12,0,1,0.33,1,196,0,98,174.04,174.04,1,1,2.9
"411",16,24,13,4278.61,2795.89,0.458333333333333,1,0.25,0.12,784,0.346542451871052,52,174.74,215.07,1.5,0.81,3.8
"412",6,7,2,1439.8,633.11,0.714285714285714,0.86,0.43,0.43,662,0.560279205445201,132,105.52,316.56,1.17,0.33,1.7
"413",2,2,1,476.34,241.98,0.5,1,0.5,0.5,402,0.492001511525381,402,120.99,241.98,1,0.5,2
"414",5,5,5,487.03,487.03,0,1,0.6,0.8,560,0,140,97.41,97.41,1,1,3
"415",3,4,3,752.49,619.08,0.25,1,1,0,605,0.177291392576646,302,206.36,206.36,1.33,1,1.9
"416",2,3,3,533.1,533.1,0,0.33,1,0,142,0,142,266.55,177.7,1.5,1.5,2.9
"417",3,3,1,497.88,173.47,0.666666666666667,1,0.33,0.67,197,0.65158271069334,98,57.82,173.47,1,0.33,2.4
"418",2,2,2,501.72,501.72,0,1,0,0.5,719,0,719,250.86,250.86,1,1,2.6
"419",2,3,2,1495.4,1389.52,0.333333333333333,0.33,0.33,0,634,0.0708037983148322,634,694.76,694.76,1.5,1,3.3
"420",2,2,1,304.38,165.87,0.5,1,0.5,0,309,0.455056179775281,309,82.94,165.87,1,0.5,2.2
"421",2,2,1,357.84,197.4,0.5,0,0,0.5,29,0.448356807511737,29,98.7,197.4,1,0.5,3.4
"422",2,5,2,1470.08,629.11,0.6,0,0,0,-14,0.572057303003918,-14,314.56,314.56,2.5,1,3.4
"423",6,10,7,1911.25,1387.01,0.3,1,0.2,0,626,0.274291693917593,125,231.17,198.14,1.67,1.17,3.3
"424",13,17,5,9149.79,1764.15,0.705882352941176,0.53,0.24,0.29,634,0.807192296216634,53,135.7,352.83,1.31,0.38,2.6
"425",2,2,1,298.22,134.83,0.5,1,0.5,0,17,0.547884112400241,17,67.42,134.83,1,0.5,2.7
"426",7,8,7,1027.89,916.14,0.125,1,0.25,0.5,372,0.108717858914865,62,130.88,130.88,1.14,1,3.5
"427",5,7,1,3585,449.94,0.857142857142857,0,0.14,0.57,532,0.874493723849372,133,89.99,449.94,1.4,0.2,2.6
"428",45,52,11,40402.14,5978.16,0.788461538461538,0.21,0.25,0.04,768,0.852033580399454,17,132.85,543.47,1.16,0.24,4.3
"429",2,2,1,483.44,228.33,0.5,1,0,1,276,0.527697335760384,276,114.17,228.33,1,0.5,2.2
"430",2,2,2,481.37,481.37,0,0.5,0.5,0.5,777,0,777,240.69,240.69,1,1,2.7
"431",3,3,3,541.54,541.54,0,1,0.33,0.33,534,0,267,180.51,180.51,1,1,3.4
"432",4,5,1,4253.17,1650.89,0.8,0.4,0.2,0.2,709,0.611844812222413,236,412.72,1650.89,1.25,0.25,2.3
"433",5,5,3,874.82,473.27,0.4,1,0.6,0.2,722,0.459008710363275,180,94.65,157.76,1,0.6,3
"434",5,5,1,880.62,154.8,0.8,0.8,0.2,0,777,0.824214757784288,194,30.96,154.8,1,0.2,2.6
